0;0;0;0;land;false;unknown;0
1;183;46;1;land;false;forest;4
2;232;38;1;land;false;forest;4
3;192;32;1;land;false;plains;4
4;184;6;1;land;false;forest;4
5;180;56;1;land;false;forest;4
6;201;18;1;land;false;forest;4
7;241;18;1;land;false;forest;4
8;152;88;1;land;false;forest;4
9;125;57;1;land;true;forest;4
10;129;55;1;land;false;plains;4
11;111;69;1;land;false;plains;4
12;145;34;1;land;false;forest;4
13;171;32;1;land;false;forest;4
14;140;55;1;land;false;plains;4
15;153;77;1;land;true;forest;4
16;189;33;1;land;false;forest;4
17;155;39;1;land;false;plains;4
18;170;84;1;land;false;forest;4
19;159;103;1;land;false;forest;4
20;137;55;1;land;false;forest;4
21;180;97;1;land;true;forest;4
22;159;204;1;land;true;plains;4
23;94;244;1;land;false;plains;4
24;124;237;1;land;true;forest;4
25;146;230;1;land;false;plains;4
26;133;209;1;land;true;forest;4
27;92;249;1;land;false;plains;4
28;136;244;1;land;false;forest;4
29;157;252;1;land;false;plains;4
30;104;247;1;land;false;plains;4
31;200;187;1;land;false;forest;4
32;206;156;1;land;false;plains;4
33;168;192;1;land;false;urban;4
34;219;141;1;land;false;plains;4
35;154;120;1;land;false;forest;4
36;159;130;1;land;false;plains;4
37;156;115;1;land;false;plains;4
38;165;169;1;land;false;plains;4
39;125;108;1;land;false;plains;4
40;132;158;1;land;false;forest;4
41;154;121;1;land;false;plains;4
42;179;133;1;land;false;plains;4
43;90;89;1;land;false;hills;4
44;69;113;1;land;false;mountain;4
45;84;150;1;land;false;mountain;4
46;78;139;1;land;false;hills;4
47;183;209;1;land;false;plains;4
48;121;210;1;land;false;plains;4
49;183;238;1;land;false;plains;4
50;123;179;1;land;false;plains;4
51;121;189;1;land;false;plains;4
52;162;215;1;land;false;plains;4
53;164;228;1;land;false;plains;4
54;34;239;1;land;false;plains;4
55;100;216;1;land;false;jungle;4
56;92;213;1;land;false;plains;4
57;53;215;1;land;false;forest;4
58;58;237;1;land;false;forest;4
59;88;176;1;land;false;jungle;4
60;47;162;1;land;false;jungle;4
61;30;166;1;land;false;jungle;4
62;215;24;1;land;false;plains;4
63;210;21;1;land;false;forest;4
64;210;26;1;land;false;plains;4
65;244;41;1;land;true;plains;4
66;250;40;1;land;false;plains;4
67;218;28;1;land;true;plains;4
68;226;21;1;land;false;plains;4
69;237;4;1;land;false;plains;4
70;253;10;1;land;false;plains;4
71;210;32;1;land;true;plains;4
72;214;1;1;land;false;plains;4
73;246;45;1;land;false;plains;4
74;215;16;1;land;false;plains;4
75;218;0;1;land;false;urban;4
76;242;1;1;land;false;plains;4
77;225;45;1;land;false;plains;4
78;223;5;1;land;false;plains;4
79;216;6;1;land;false;plains;4
80;113;141;1;land;false;plains;4
81;88;90;1;land;false;plains;4
82;122;162;1;land;false;plains;4
83;86;153;1;land;false;plains;4
84;127;105;1;land;false;plains;4
85;94;101;1;land;false;plains;4
86;98;144;1;land;false;plains;4
87;92;108;1;land;false;plains;4
88;118;144;1;land;false;plains;4
89;196;146;1;land;false;hills;4
90;222;149;1;land;false;hills;4
91;243;165;1;land;false;plains;4
92;243;195;1;land;false;hills;4
93;214;144;1;land;false;hills;4
94;244;134;1;land;false;forest;4
95;192;143;1;land;false;urban;4
96;209;157;1;land;false;forest;4
97;200;185;1;land;false;hills;4
98;239;188;1;land;false;forest;4
